page_id,page_name,page_title,page_description,page_header_photo_flag
6,/index.php,Joe D'Urso & Stone Caravan,"Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",0
7,/bio.php,Bio,"Bio. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
8,/tour.php,Tour Dates,"Tour Dates. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
9,/store.php,Store,"Store. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
10,/links.php,Links,"Links. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
11,/press-kit.php,Press Kit,"Press Kit. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
12,/contact.php,Contact,"Contact. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
13,/news.php,News,"News. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
14,/video.php,Video,"Video. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1
15,/photos.php,Photos,"Photos. Joe D'Urso's fierce independence, dynamic stage presence and altruistic nature have led him down a road less traveled. Joe D'Urso & Stone Caravan play straight-up Americana rock and roll, singer-songwriter offerings, Jersey Shore influences and New York State/Catskill Mountain country-tinged instrumentation.",1

